Day,Net,Address,Category,SKU,Price
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Хлебная 40% 0,25л",175
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Тундра Аутентик 40% 0,5л",362.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Кедровица Кедровая Мягкая 38% 0,1л",70
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Зимняя Деревенька Солодовая 40% 0,5л",359
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Беленькая Люкс 40% 0,25л",209.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Хлебная 40% 0,1л",78.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Финский Лед 40% 0,25л",175
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Тундра Аутентик 40% 0,25л",194.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Хлебная Мягкая 40% 0,5л",349
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Архангельская Северная Выдержка 40% 0,25л",249.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Хорта Серебряная Прохлада 40% 0,5л",369.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Финский Лед 40% 0,1л",78.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Граф Ледофф 40% 0,5л",349.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Мороша Уровень Мягкости №1 40% 0,5л",359.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Беленькая Золотая Альфа 40% 0,5л",349
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Русская Валюта 40% 0,25л",175
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Финский Лед 40% 0,5л",349
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Белая Березка Морозная Клюква 40% 0,5л",449.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Русское Золото 40% 0,5л",349
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Настойка Горькая Кедровица на Кедр Орехах 35% 0,5л",317
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Царская Оригинальная 40% 0,5л",479.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Пять Озер 40% 0,1л",104.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Белая Березка 40% 0,5л",449.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Белая Сова Classic 40% 0,5л",459.9
"Fri Apr 11 2025 00:26:15 GMT+0300 (Москва, стандартное время)",Smart,,ВОДКА,"Водка Архангельская Северная Выдержка Хлебная 40% 0,5л",439.9
